location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2161296,"Đào Duy Từ","co",1975,"µg/m³","2024-09-25T12:00:00Z","2024-09-25T19:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",2049.9,"µg/m³","2024-09-25T13:00:00Z","2024-09-25T20:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1531.5,"µg/m³","2024-09-25T14:00:00Z","2024-09-25T21:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1652.7,"µg/m³","2024-09-25T15:00:00Z","2024-09-25T22:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1367.1,"µg/m³","2024-09-25T16:00:00Z","2024-09-25T23:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1302.1,"µg/m³","2024-09-25T17:00:00Z","2024-09-26T00:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",884.3,"µg/m³","2024-09-25T18:00:00Z","2024-09-26T01:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",713,"µg/m³","2024-09-25T19:00:00Z","2024-09-26T02:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",670.5,"µg/m³","2024-09-25T20:00:00Z","2024-09-26T03:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",652.2,"µg/m³","2024-09-25T21:00:00Z","2024-09-26T04:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",615.9,"µg/m³","2024-09-25T22:00:00Z","2024-09-26T05:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",777.8,"µg/m³","2024-09-25T23:00:00Z","2024-09-26T06:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1377.5,"µg/m³","2024-09-26T00:00:00Z","2024-09-26T07:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1519.2,"µg/m³","2024-09-26T01:00:00Z","2024-09-26T08:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1385.3,"µg/m³","2024-09-26T02:00:00Z","2024-09-26T09:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",985.7,"µg/m³","2024-09-26T03:00:00Z","2024-09-26T10:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",915.2,"µg/m³","2024-09-26T04:00:00Z","2024-09-26T11:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1144.1,"µg/m³","2024-09-26T05:00:00Z","2024-09-26T12:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",884,"µg/m³","2024-09-26T06:00:00Z","2024-09-26T13:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",844.8,"µg/m³","2024-09-26T07:00:00Z","2024-09-26T14:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1533.1,"µg/m³","2024-09-26T08:00:00Z","2024-09-26T15:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1509,"µg/m³","2024-09-26T09:00:00Z","2024-09-26T16:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",2099.2,"µg/m³","2024-09-26T10:00:00Z","2024-09-26T17:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",2957.5,"µg/m³","2024-09-26T11:00:00Z","2024-09-26T18:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1562.4,"µg/m³","2024-09-26T12:00:00Z","2024-09-26T19:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1136.2,"µg/m³","2024-09-26T13:00:00Z","2024-09-26T20:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1052.1,"µg/m³","2024-09-26T14:00:00Z","2024-09-26T21:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",994.4,"µg/m³","2024-09-26T15:00:00Z","2024-09-26T22:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
